session,scan_idx,readout_id,brain_area,layer,unit_id
8,5,1458,RL,L23,1536
8,5,7990,RL,L4,8490
5,7,7606,RL,L5,8317
9,4,4579,V1,L23,4909
9,3,2464,V1,L4,2638
6,4,6582,V1,L5,7113
8,5,1418,AL,L23,1492
9,3,2400,AL,L4,2572
7,5,7768,AL,L5,8565
6,7,6411,LM,L23,7064
7,5,6100,LM,L4,6760
6,4,6927,LM,L5,7485
9,6,4040,RL,L23,4348
6,4,3712,RL,L4,4042
7,3,7885,RL,L5,8515
9,6,1915,V1,L23,2058
6,7,5636,V1,L4,6201
7,3,7988,V1,L5,8622
6,4,3541,AL,L23,3857
4,7,4791,AL,L4,5384
5,7,8044,AL,L5,8767
6,2,4783,LM,L23,5173
7,5,6101,LM,L4,6761
5,6,8591,LM,L5,9254
5,7,1297,RL,L23,1409
7,5,6051,RL,L4,6704
6,2,6852,RL,L5,7421
6,2,1610,V1,L23,1756
9,3,1749,V1,L4,1881
7,3,8319,V1,L5,8976
5,7,1933,AL,L23,2120
6,2,4478,AL,L4,4846
7,3,7892,AL,L5,8522
4,7,3326,LM,L23,3782
6,2,3810,LM,L4,4141
6,4,6088,LM,L5,6592
7,3,1485,RL,L23,1608
6,4,3746,RL,L4,4077
6,4,6769,RL,L5,7311
9,6,5065,V1,L23,5428
6,7,5635,V1,L4,6200
6,2,6529,V1,L5,7060
9,6,1295,AL,L23,1407
7,5,6619,AL,L4,7331
6,4,6588,AL,L5,7120
6,4,4521,LM,L23,4901
6,7,5517,LM,L4,6075
6,7,7744,LM,L5,8455
6,7,3079,RL,L23,3394
9,3,4329,RL,L4,4671
6,2,6951,RL,L5,7528
6,7,3815,V1,L23,4201
8,5,7213,V1,L4,7634
7,3,8106,V1,L5,8741
6,6,1890,AL,L23,2057
6,2,3710,AL,L4,4030
6,7,7842,AL,L5,8555
6,2,1205,LM,L23,1318
6,7,5518,LM,L4,6076
5,6,6185,LM,L5,6752
7,5,3866,RL,L23,4267
7,5,6738,RL,L4,7458
6,4,6857,RL,L5,7403
9,6,4552,V1,L23,4889
9,3,7788,V1,L4,8448
6,4,7773,V1,L5,8365
7,5,1292,AL,L23,1412
9,3,1371,AL,L4,1486
7,3,7883,AL,L5,8513
7,5,1441,LM,L23,1593
7,3,3961,LM,L4,4302
4,7,7269,LM,L5,8152
9,4,6692,RL,L23,7177
9,3,4222,RL,L4,4559
7,3,8332,RL,L5,8991
8,5,4934,V1,L23,5194
9,3,1656,V1,L4,1784
5,6,6965,V1,L5,7598
7,3,2295,AL,L23,2472
9,3,7746,AL,L4,8404
6,6,7476,AL,L5,8044
9,4,2491,LM,L23,2681
4,7,4904,LM,L4,5522
6,6,7530,LM,L5,8101
7,5,2069,RL,L23,2278
4,7,4964,RL,L4,5586
7,5,8028,RL,L5,8847
9,4,7207,V1,L23,7721
5,6,4920,V1,L4,5353
7,3,8052,V1,L5,8686
9,4,6608,AL,L23,7085
5,7,4837,AL,L4,5315
6,2,6856,AL,L5,7426
9,6,3960,LM,L23,4266
6,7,6562,LM,L4,7244
6,6,7531,LM,L5,8102
7,5,1991,RL,L23,2197
9,3,6811,RL,L4,7405
8,5,9742,RL,L5,10367
6,7,3483,V1,L23,3833
5,6,4955,V1,L4,5389
6,7,5994,V1,L5,6602
7,3,2044,AL,L23,2202
6,4,3530,AL,L4,3840
6,4,6730,AL,L5,7270
5,7,1335,LM,L23,1450
6,4,3647,LM,L4,3972
5,6,7963,LM,L5,8618
8,5,5277,RL,L23,5556
4,7,4972,RL,L4,5594
4,7,7363,RL,L5,8251
9,6,4737,V1,L23,5084
5,6,4118,V1,L4,4486
7,3,8398,V1,L5,9061
6,6,1822,AL,L23,1983
9,3,7579,AL,L4,8232
6,2,6078,AL,L5,6582
4,7,2327,LM,L23,2687
6,2,3867,LM,L4,4200
6,2,8112,LM,L5,8711
6,6,3412,RL,L23,3685
9,3,7926,RL,L4,8601
6,6,7803,RL,L5,8382
6,2,1558,V1,L23,1700
9,3,5095,V1,L4,5512
7,3,8455,V1,L5,9118
9,4,6569,AL,L23,7040
5,7,3770,AL,L4,4138
5,7,8120,AL,L5,8845
6,2,2092,LM,L23,2273
9,3,4836,LM,L4,5230
6,2,7728,LM,L5,8319
9,6,2320,RL,L23,2484
9,3,7852,RL,L4,8519
6,4,6096,RL,L5,6600
6,7,1141,V1,L23,1286
4,7,5811,V1,L4,6550
5,7,6322,V1,L5,6953
7,3,1334,AL,L23,1451
6,4,3528,AL,L4,3838
5,7,6394,AL,L5,7039
6,4,4738,LM,L23,5138
5,7,4962,LM,L4,5461
6,4,1600,RL,L23,1748
9,3,1425,RL,L4,1544
6,7,6065,RL,L5,6684
9,6,4968,V1,L23,5322
8,5,7777,V1,L4,8258
8,5,9357,V1,L5,9951
8,5,5053,AL,L23,5326
6,7,2908,AL,L4,3214
6,7,6482,AL,L5,7140
5,7,1360,LM,L23,1478
6,6,5823,LM,L4,6279
9,4,4085,RL,L23,4386
6,7,6453,RL,L4,7107
6,4,6702,RL,L5,7241
6,4,1346,V1,L23,1462
4,7,5037,V1,L4,5668
5,6,6455,V1,L5,7043
9,4,7391,AL,L23,7923
6,6,5782,AL,L4,6238
6,4,6630,AL,L5,7165
6,6,4267,LM,L23,4598
7,5,6102,LM,L4,6762
9,4,2083,RL,L23,2239
5,6,3885,RL,L4,4236
4,7,6937,RL,L5,7782
5,6,1808,V1,L23,1959
6,2,4611,V1,L4,4993
4,7,7089,V1,L5,7951
5,7,4914,AL,L23,5403
5,7,3781,AL,L4,4150
7,5,8112,AL,L5,8937
9,6,3874,LM,L23,4173
9,3,6777,LM,L4,7371
7,5,1402,RL,L23,1549
6,7,4131,RL,L4,4547
6,2,6113,RL,L5,6620
8,5,2522,V1,L23,2651
7,3,4998,V1,L4,5427
8,5,9849,V1,L5,10478
4,7,2280,AL,L23,2633
9,3,5033,AL,L4,5446
6,7,7371,AL,L5,8070
9,6,3899,LM,L23,4203
9,3,4154,LM,L4,4488
6,6,3339,RL,L23,3608
9,3,1501,RL,L4,1624
6,7,6276,RL,L5,6918
6,7,903,V1,L23,1017
9,3,7084,V1,L4,7698
7,3,8579,V1,L5,9252
9,4,3892,AL,L23,4176
8,5,6994,AL,L4,7403
5,7,6002,AL,L5,6611
6,2,3811,LM,L23,4142
6,4,6864,LM,L4,7411
6,2,1195,RL,L23,1307
7,3,4154,RL,L4,4503
8,5,9186,RL,L5,9775
4,7,2981,V1,L23,3418
6,2,4568,V1,L4,4950
7,3,6652,V1,L5,7196
7,3,2098,AL,L23,2262
9,3,4054,AL,L4,4380
5,6,6136,AL,L5,6702
6,7,2948,LM,L23,3256
4,7,5793,LM,L4,6532
6,2,2251,RL,L23,2446
7,5,6124,RL,L4,6785
6,4,6137,RL,L5,6644
9,6,2195,V1,L23,2357
9,3,5045,V1,L4,5458
8,5,9779,V1,L5,10404
5,7,1248,AL,L23,1352
7,3,3921,AL,L4,4258
8,5,9184,AL,L5,9773
6,4,1141,LM,L23,1244
9,3,1461,LM,L4,1583
6,6,1631,RL,L23,1785
5,7,3838,RL,L4,4212
5,6,6556,RL,L5,7154
4,7,782,V1,L23,959
9,3,2598,V1,L4,2777
5,7,6491,V1,L5,7144
6,4,4666,AL,L23,5059
6,2,4661,AL,L4,5044
6,4,6648,AL,L5,7186
9,4,6680,LM,L23,7165
8,5,8229,LM,L4,8754
8,5,2292,RL,L23,2416
5,6,4735,RL,L4,5150
6,7,7391,RL,L5,8091
9,6,1835,V1,L23,1976
6,6,3770,V1,L4,4068
7,3,8136,V1,L5,8774
6,6,1493,AL,L23,1629
6,7,5419,AL,L4,5964
5,7,8131,AL,L5,8856
6,4,3646,LM,L23,3971
9,3,6842,LM,L4,7440
6,7,3674,RL,L23,4038
7,3,3972,RL,L4,4313
7,3,6785,RL,L5,7340
7,3,1818,V1,L23,1960
4,7,5623,V1,L4,6347
5,7,6092,V1,L5,6707
6,7,2877,AL,L23,3181
8,5,7003,AL,L4,7413
6,7,7381,AL,L5,8080
6,2,3840,LM,L23,4172
8,5,7105,LM,L4,7523
