session,scan_idx,readout_id,brain_area,layer,unit_id
7,5,1981,AL,L23,2186
7,3,4877,AL,L4,5294
6,7,7351,AL,L5,8050
8,5,1573,RL,L23,1658
4,7,4999,RL,L4,5626
6,4,6075,RL,L5,6579
9,4,6920,V1,L23,7412
4,7,5302,V1,L4,5967
5,6,6458,V1,L5,7046
8,5,1408,AL,L23,1472
7,3,3909,AL,L4,4244
7,3,8597,AL,L5,9273
4,7,2938,RL,L23,3367
6,2,4916,RL,L4,5321
6,6,7763,RL,L5,8338
6,6,1231,V1,L23,1342
7,3,4470,V1,L4,4843
5,6,6374,V1,L5,6953
6,2,2043,AL,L23,2223
4,7,4802,AL,L4,5395
5,6,6858,AL,L5,7485
6,6,4443,RL,L23,4789
7,3,4055,RL,L4,4400
6,4,7693,RL,L5,8285
5,6,1864,V1,L23,2031
9,3,1881,V1,L4,2021
5,7,6526,V1,L5,7187
6,4,3485,AL,L23,3786
6,4,3576,AL,L4,3894
6,6,7482,AL,L5,8051
7,5,3864,RL,L23,4265
8,5,7874,RL,L4,8368
7,5,7837,RL,L5,8638
8,5,4635,V1,L23,4875
8,5,8078,V1,L4,8585
6,2,6507,V1,L5,7034
6,6,3318,AL,L23,3585
6,6,6737,AL,L4,7284
6,7,5447,AL,L5,5997
9,6,4911,RL,L23,5265
9,3,1466,RL,L4,1588
7,3,7933,RL,L5,8566
5,6,2442,V1,L23,2663
5,7,4320,V1,L4,4747
5,7,6291,V1,L5,6920
6,6,3287,AL,L23,3551
5,6,3798,AL,L4,4124
5,7,6820,AL,L5,7518
4,7,2337,RL,L23,2697
6,2,3911,RL,L4,4246
6,2,6205,RL,L5,6717
7,5,4156,V1,L23,4586
8,5,7714,V1,L4,8185
7,5,8180,V1,L5,9015
6,6,1763,AL,L23,1920
5,7,3766,AL,L4,4134
5,7,5986,AL,L5,6591
6,7,3903,RL,L23,4295
6,2,4855,RL,L4,5253
6,7,7396,RL,L5,8096
9,4,7586,V1,L23,8128
7,3,4511,V1,L4,4891
8,5,9449,V1,L5,10047
4,7,2274,AL,L23,2626
6,7,2909,AL,L4,3215
6,7,6455,AL,L5,7109
5,7,1824,RL,L23,1998
7,3,4119,RL,L4,4466
7,3,7909,RL,L5,8541
9,4,7174,V1,L23,7683
5,6,4909,V1,L4,5340
5,6,6742,V1,L5,7359
9,4,2525,AL,L23,2719
6,7,5413,AL,L4,5951
4,7,7308,AL,L5,8193
6,4,1113,RL,L23,1214
7,3,4818,RL,L4,5231
8,5,9226,RL,L5,9817
6,4,2084,V1,L23,2286
7,5,6383,V1,L4,7064
6,2,6213,V1,L5,6726
7,5,1322,AL,L23,1459
4,7,5848,AL,L4,6595
6,4,6509,AL,L5,7036
7,5,1538,RL,L23,1696
5,7,3937,RL,L4,4316
6,4,6601,RL,L5,7135
4,7,3334,V1,L23,3792
6,2,4610,V1,L4,4992
5,6,6319,V1,L5,6892
5,7,2089,AL,L23,2290
6,7,5423,AL,L4,5970
6,2,6590,AL,L5,7129
8,5,5514,RL,L23,5817
9,3,1523,RL,L4,1647
6,4,8012,RL,L5,8611
6,4,4369,V1,L23,4743
8,5,7174,V1,L4,7594
6,4,6812,V1,L5,7356
5,6,1279,AL,L23,1373
7,3,4765,AL,L4,5177
6,6,7475,AL,L5,8043
9,4,2480,RL,L23,2668
9,3,7750,RL,L4,8408
6,2,6154,RL,L5,6663
7,5,1845,V1,L23,2035
6,2,4522,V1,L4,4895
6,4,6548,V1,L5,7077
6,4,3507,AL,L23,3814
5,6,4556,AL,L4,4957
5,6,7906,AL,L5,8561
7,3,2289,RL,L23,2465
9,3,4330,RL,L4,4672
7,3,7945,RL,L5,8579
8,5,2076,V1,L23,2182
5,6,4196,V1,L4,4570
6,2,6797,V1,L5,7359
6,7,780,AL,L23,883
6,4,3572,AL,L4,3890
4,7,5614,AL,L5,6336
6,4,4571,RL,L23,4955
5,6,4640,RL,L4,5052
5,7,6773,RL,L5,7464
6,6,1430,V1,L23,1558
5,6,4174,V1,L4,4547
6,7,7524,V1,L5,8226
9,4,6581,AL,L23,7056
5,6,3839,AL,L4,4184
6,7,7867,AL,L5,8582
8,5,5152,RL,L23,5429
7,3,4708,RL,L4,5111
7,5,7832,RL,L5,8632
8,5,2495,V1,L23,2623
5,6,4183,V1,L4,4556
6,6,6612,V1,L5,7139
5,6,1319,AL,L23,1418
6,4,6594,AL,L4,7126
8,5,7728,AL,L5,8200
9,4,5043,RL,L23,5407
9,3,5063,RL,L4,5477
7,3,6253,RL,L5,6786
6,7,3485,V1,L23,3836
4,7,5038,V1,L4,5669
4,7,7343,V1,L5,8230
9,6,1285,AL,L23,1397
5,6,4760,AL,L4,5178
6,7,7573,AL,L5,8277
6,2,1842,RL,L23,2008
6,2,3800,RL,L4,4130
8,5,9781,RL,L5,10406
8,5,2100,V1,L23,2209
6,6,4300,V1,L4,4634
6,4,6482,V1,L5,7007
8,5,2735,AL,L23,2877
7,5,6543,AL,L4,7244
4,7,6827,AL,L5,7672
9,6,5099,RL,L23,5465
9,3,2387,RL,L4,2558
6,7,6228,RL,L5,6870
9,6,1819,V1,L23,1960
4,7,5653,V1,L4,6379
6,2,6224,V1,L5,6738
5,7,1255,AL,L23,1359
9,3,6658,AL,L4,7243
6,6,6557,AL,L5,7079
5,7,2288,RL,L23,2511
5,7,4403,RL,L4,4845
7,3,8586,RL,L5,9261
9,6,1883,V1,L23,2026
6,6,3542,V1,L4,3826
7,3,8466,V1,L5,9130
7,5,3657,AL,L23,4042
5,7,3746,AL,L4,4108
6,6,5764,AL,L5,6218
6,4,4243,RL,L23,4606
7,3,3932,RL,L4,4271
6,2,6821,RL,L5,7385
7,5,1664,V1,L23,1831
6,6,3681,V1,L4,3975
6,2,6779,V1,L5,7339
6,6,3309,AL,L23,3576
4,7,4838,AL,L4,5441
8,5,7883,AL,L5,8377
9,6,3916,RL,L23,4221
5,6,3974,RL,L4,4331
6,2,6221,RL,L5,6734
6,7,3489,V1,L23,3840
4,7,5045,V1,L4,5677
8,5,9884,V1,L5,10514
8,5,5479,AL,L23,5777
7,5,5961,AL,L4,6602
5,6,6821,AL,L5,7446
9,4,4717,RL,L23,5061
9,3,2476,RL,L4,2650
7,3,6149,RL,L5,6676
6,7,3854,V1,L23,4241
6,2,4718,V1,L4,5104
5,6,6890,V1,L5,7517
5,6,1312,AL,L23,1410
9,3,2656,AL,L4,2841
7,3,8288,AL,L5,8942
9,6,5036,RL,L23,5394
9,3,4949,RL,L4,5356
6,6,5757,RL,L5,6210
6,7,3464,V1,L23,3810
7,3,4959,V1,L4,5385
7,3,8580,V1,L5,9253
7,5,1379,AL,L23,1524
9,3,6650,AL,L4,7233
7,5,7757,AL,L5,8554
6,7,3052,RL,L23,3365
7,3,5081,RL,L4,5527
7,5,8061,RL,L5,8884
8,5,2206,V1,L23,2326
6,6,6436,V1,L4,6953
8,5,9605,V1,L5,10214
8,5,2391,AL,L23,2515
9,3,2338,AL,L4,2509
5,6,6810,AL,L5,7434
6,4,1672,RL,L23,1827
8,5,7115,RL,L4,7533
5,6,6176,RL,L5,6743
6,4,1330,V1,L23,1446
6,7,6017,V1,L4,6627
6,7,6422,V1,L5,7076
5,7,1872,AL,L23,2048
7,3,3919,AL,L4,4256
4,7,7383,AL,L5,8274
9,6,4726,RL,L23,5073
7,3,4930,RL,L4,5354
6,6,6438,RL,L5,6955
9,4,7094,V1,L23,7598
6,4,6955,V1,L4,7519
7,3,8008,V1,L5,8642
7,5,2014,AL,L23,2220
8,5,8093,AL,L4,8601
5,6,6113,AL,L5,6679
8,5,1476,RL,L23,1558
9,3,7633,RL,L4,8287
6,6,7870,RL,L5,8449
5,6,1657,V1,L23,1791
4,7,5360,V1,L4,6026
6,4,6612,V1,L5,7147
6,4,4214,AL,L23,4576
7,5,6805,AL,L4,7528
4,7,7358,AL,L5,8246
6,7,793,RL,L23,897
8,5,6997,RL,L4,7406
8,5,9597,RL,L5,10205
9,4,4938,V1,L23,5295
4,7,5355,V1,L4,6021
6,7,5908,V1,L5,6496
6,6,3262,AL,L23,3524
4,7,4856,AL,L4,5464
6,4,6583,AL,L5,7114
7,5,3800,RL,L23,4197
9,3,6738,RL,L4,7329
5,6,6860,RL,L5,7487
6,4,1569,V1,L23,1704
6,2,4618,V1,L4,5000
5,6,6955,V1,L5,7586
9,4,7619,AL,L23,8163
7,5,6011,AL,L4,6659
6,4,8132,AL,L5,8733
7,5,4348,RL,L23,4791
7,3,4124,RL,L4,4472
6,7,7843,RL,L5,8556
6,2,4404,V1,L23,4766
5,7,4159,V1,L4,4565
5,7,6090,V1,L5,6705
5,6,2152,AL,L23,2341
5,7,4736,AL,L4,5207
4,7,7353,AL,L5,8240
7,5,1943,RL,L23,2147
9,3,2334,RL,L4,2505
5,7,6655,RL,L5,7328
4,7,2893,V1,L23,3318
5,7,4712,V1,L4,5182
7,3,7986,V1,L5,8620
6,7,2864,AL,L23,3166
8,5,6974,AL,L4,7380
6,7,6049,AL,L5,6667
6,6,3435,RL,L23,3711
7,5,6792,RL,L4,7515
6,7,7728,RL,L5,8439
6,4,1734,V1,L23,1903
4,7,5293,V1,L4,5958
6,4,6557,V1,L5,7086
6,7,2844,AL,L23,3140
6,2,3740,AL,L4,4066
7,3,8562,AL,L5,9230
7,5,1370,RL,L23,1515
5,6,4015,RL,L4,4374
7,3,6183,RL,L5,6712
6,7,4100,V1,L23,4512
9,3,1974,V1,L4,2117
6,6,6225,V1,L5,6709
6,4,4732,AL,L23,5132
7,5,5945,AL,L4,6578
6,4,8188,AL,L5,8793
7,5,3696,RL,L23,4083
9,3,4207,RL,L4,4543
7,3,8257,RL,L5,8910
6,6,1630,V1,L23,1784
9,3,4640,V1,L4,5010
5,6,6711,V1,L5,7328
6,4,3514,AL,L23,3823
9,3,1380,AL,L4,1496
6,4,6584,AL,L5,7115
7,5,1430,RL,L23,1579
9,3,1522,RL,L4,1646
6,4,6672,RL,L5,7211
6,7,1369,V1,L23,1535
6,2,3897,V1,L4,4232
6,7,5659,V1,L5,6226
7,5,1325,AL,L23,1462
7,5,6638,AL,L4,7351
6,2,6055,AL,L5,6559
9,4,4090,RL,L23,4391
9,3,4196,RL,L4,4532
4,7,7099,RL,L5,7964
6,4,4202,V1,L23,4564
9,3,2231,V1,L4,2396
7,3,8605,V1,L5,9281
5,7,2210,AL,L23,2424
5,7,3758,AL,L4,4126
5,6,6114,AL,L5,6680
9,4,4094,RL,L23,4395
9,3,2640,RL,L4,2825
7,3,8493,RL,L5,9159
6,2,1443,V1,L23,1577
8,5,7816,V1,L4,8305
6,2,6227,V1,L5,6741
6,6,3258,AL,L23,3519
7,3,3873,AL,L4,4200
6,2,6064,AL,L5,6568
8,5,1630,RL,L23,1717
9,3,6847,RL,L4,7445
6,2,6140,RL,L5,6648
4,7,3161,V1,L23,3606
8,5,7948,V1,L4,8445
6,7,7814,V1,L5,8525
7,3,1300,AL,L23,1406
5,6,4970,AL,L4,5404
6,4,8053,AL,L5,8652
6,4,1961,RL,L23,2147
8,5,7812,RL,L4,8300
7,3,7957,RL,L5,8591
6,6,3894,V1,L23,4202
9,3,4853,V1,L4,5251
5,6,6489,V1,L5,7078
6,4,4751,AL,L23,5152
5,7,3763,AL,L4,4131
5,7,6451,AL,L5,7101
5,6,2332,RL,L23,2534
4,7,5564,RL,L4,6282
6,7,6235,RL,L5,6877
6,4,1786,V1,L23,1959
5,7,4130,V1,L4,4531
8,5,9729,V1,L5,10354
5,6,1269,AL,L23,1358
7,3,4723,AL,L4,5131
5,7,7581,AL,L5,8292
8,5,4439,RL,L23,4670
4,7,4932,RL,L4,5553
7,5,7869,RL,L5,8670
6,6,3562,V1,L23,3849
9,3,2642,V1,L4,2827
5,7,6157,V1,L5,6775
4,7,2239,AL,L23,2585
6,4,5969,AL,L4,6463
4,7,4843,AL,L5,5448
8,5,5108,RL,L23,5382
6,7,5629,RL,L4,6194
6,7,6549,RL,L5,7227
6,7,3170,V1,L23,3494
4,7,5243,V1,L4,5903
6,7,6027,V1,L5,6640
5,7,2219,AL,L23,2433
4,7,4876,AL,L4,5488
7,5,8057,AL,L5,8880
6,4,1737,RL,L23,1907
5,6,3935,RL,L4,4289
6,7,7766,RL,L5,8477
9,4,6802,V1,L23,7290
6,4,3706,V1,L4,4036
6,4,8065,V1,L5,8664
5,6,1267,AL,L23,1355
5,7,4853,AL,L4,5333
7,3,7918,AL,L5,8551
7,3,2007,RL,L23,2164
9,3,4131,RL,L4,4463
7,3,6295,RL,L5,6828
6,7,3478,V1,L23,3828
6,4,6827,V1,L4,7372
6,7,6319,V1,L5,6961
6,6,3298,AL,L23,3565
7,3,4800,AL,L4,5213
6,7,7342,AL,L5,8041
7,3,1494,RL,L23,1619
4,7,5030,RL,L4,5661
6,2,6157,RL,L5,6666
5,7,2258,V1,L23,2476
5,7,4379,V1,L4,4821
6,6,6710,V1,L5,7253
6,6,3282,AL,L23,3545
7,5,6002,AL,L4,6650
6,6,6779,AL,L5,7333
6,2,1877,RL,L23,2044
7,5,6616,RL,L4,7328
5,7,6444,RL,L5,7093
6,7,1028,V1,L23,1164
8,5,8127,V1,L4,8638
6,4,6315,V1,L5,6829
9,6,3809,AL,L23,4099
5,6,4649,AL,L4,5062
7,5,7750,AL,L5,8546
6,7,3557,RL,L23,3915
6,4,3688,RL,L4,4014
5,6,6803,RL,L5,7427
6,2,1422,V1,L23,1553
4,7,5768,V1,L4,6501
6,4,6877,V1,L5,7425
6,7,776,AL,L23,879
6,4,3483,AL,L4,3783
6,2,7711,AL,L5,8302
6,4,1096,RL,L23,1196
9,3,1630,RL,L4,1757
8,5,9701,RL,L5,10322
9,4,4345,V1,L23,4658
5,7,4364,V1,L4,4803
5,7,6154,V1,L5,6772
5,6,1334,AL,L23,1435
5,6,5030,AL,L4,5477
6,4,6766,AL,L5,7308
7,5,3784,RL,L23,4176
9,3,1519,RL,L4,1643
6,7,5535,RL,L5,6093
6,7,1085,V1,L23,1223
6,2,4056,V1,L4,4400
5,6,6539,V1,L5,7130
4,7,3421,AL,L23,3900
5,7,3723,AL,L4,4072
6,7,5467,AL,L5,6019
7,3,1416,RL,L23,1538
6,2,3843,RL,L4,4175
4,7,5938,RL,L5,6711
5,7,2209,V1,L23,2423
5,7,4122,V1,L4,4522
5,6,6332,V1,L5,6908
6,6,986,AL,L23,1078
4,7,4810,AL,L4,5403
5,6,6908,AL,L5,7536
4,7,2403,RL,L23,2770
8,5,7795,RL,L4,8283
6,4,6833,RL,L5,7379
6,4,2017,V1,L23,2210
5,7,4407,V1,L4,4849
6,6,5997,V1,L5,6460
6,4,2005,AL,L23,2197
5,6,4877,AL,L4,5304
6,6,5789,AL,L5,6245
5,7,1260,RL,L23,1366
5,6,4531,RL,L4,4932
6,4,6052,RL,L5,6554
6,7,1044,V1,L23,1180
4,7,5554,V1,L4,6264
6,7,6192,V1,L5,6834
7,3,1316,AL,L23,1430
7,3,3881,AL,L4,4213
5,7,6496,AL,L5,7151
6,4,1120,RL,L23,1222
5,7,3870,RL,L4,4244
6,7,6563,RL,L5,7245
5,6,2249,V1,L23,2444
9,3,4474,V1,L4,4832
7,3,6948,V1,L5,7509
6,7,1204,AL,L23,1352
5,7,4892,AL,L4,5376
4,7,6852,AL,L5,7697
7,3,2274,RL,L23,2449
8,5,7672,RL,L4,8141
7,3,6209,RL,L5,6742
6,2,2129,V1,L23,2310
6,7,6006,V1,L4,6615
6,4,8107,V1,L5,8707
6,7,3818,AL,L23,4204
6,6,6423,AL,L4,6939
6,4,6005,AL,L5,6504
4,7,2377,RL,L23,2741
9,3,4987,RL,L4,5395
6,7,6253,RL,L5,6895
9,6,4505,V1,L23,4832
5,6,4480,V1,L4,4877
5,6,6640,V1,L5,7249
6,2,3741,AL,L23,4067
9,3,7752,AL,L4,8410
5,6,6649,AL,L5,7259
6,7,3960,RL,L23,4359
7,3,4042,RL,L4,4387
5,7,6071,RL,L5,6685
8,5,4689,V1,L23,4934
7,3,4897,V1,L4,5316
4,7,7312,V1,L5,8197
7,5,3592,AL,L23,3959
9,3,4083,AL,L4,4415
4,7,7334,AL,L5,8220
7,5,1543,RL,L23,1701
5,7,3790,RL,L4,4162
6,7,5603,RL,L5,6165
9,6,1523,V1,L23,1649
4,7,5262,V1,L4,5925
5,6,6491,V1,L5,7080
5,7,1262,AL,L23,1369
7,3,5004,AL,L4,5433
5,7,6017,AL,L5,6629
6,4,3648,RL,L23,3973
4,7,4913,RL,L4,5531
4,7,6896,RL,L5,7741
6,6,1559,V1,L23,1702
9,3,7367,V1,L4,8004
5,6,6451,V1,L5,7038
9,4,3901,AL,L23,4194
8,5,8199,AL,L4,8720
6,7,6552,AL,L5,7230
7,5,3829,RL,L23,4229
5,6,4769,RL,L4,5187
5,6,7010,RL,L5,7653
6,7,3608,V1,L23,3967
5,6,4830,V1,L4,5253
5,7,6201,V1,L5,6821
6,4,3513,AL,L23,3822
6,2,4729,AL,L4,5115
5,6,6150,AL,L5,6716
6,4,2104,RL,L23,2310
5,7,4382,RL,L4,4824
6,4,6163,RL,L5,6670
9,4,7302,V1,L23,7822
6,4,4121,V1,L4,4470
4,7,7411,V1,L5,8304
9,6,1275,AL,L23,1380
8,5,7029,AL,L4,7441
6,4,6757,AL,L5,7299
9,6,2327,RL,L23,2491
8,5,7807,RL,L4,8295
6,7,7587,RL,L5,8292
9,4,4283,V1,L23,4595
9,3,7146,V1,L4,7768
7,3,8021,V1,L5,8655
6,4,3540,AL,L23,3856
7,3,4729,AL,L4,5138
6,7,7370,AL,L5,8069
6,4,1752,RL,L23,1923
6,2,4850,RL,L4,5247
6,6,6781,RL,L5,7336
6,6,3868,V1,L23,4172
4,7,5617,V1,L4,6339
7,3,8168,V1,L5,8808
5,6,1296,AL,L23,1392
4,7,5973,AL,L4,6756
7,3,7891,AL,L5,8521
6,2,1236,RL,L23,1354
5,7,4476,RL,L4,4930
6,6,6622,RL,L5,7150
8,5,4465,V1,L23,4698
4,7,5858,V1,L4,6607
6,4,6802,V1,L5,7346
5,7,1264,AL,L23,1371
7,3,3899,AL,L4,4234
5,6,6865,AL,L5,7492
7,5,1883,RL,L23,2074
5,7,3922,RL,L4,4299
7,3,8262,RL,L5,8915
6,7,3128,V1,L23,3450
5,7,4882,V1,L4,5364
5,6,6904,V1,L5,7531
6,7,2886,AL,L23,3190
9,3,1442,AL,L4,1563
4,7,7167,AL,L5,8035
9,4,6755,RL,L23,7242
6,2,4940,RL,L4,5347
5,6,6256,RL,L5,6824
5,7,2155,V1,L23,2362
6,6,6784,V1,L4,7341
6,7,5831,V1,L5,6413
4,7,2253,AL,L23,2602
7,3,3893,AL,L4,4226
4,7,7136,AL,L5,8004
7,3,1339,RL,L23,1459
5,6,3994,RL,L4,4353
6,2,6150,RL,L5,6658
5,7,1745,V1,L23,1901
6,4,4038,V1,L4,4383
8,5,9807,V1,L5,10433
6,6,4496,AL,L23,4849
5,7,3785,AL,L4,4155
6,7,5412,AL,L5,5950
5,7,1284,RL,L23,1394
5,6,4052,RL,L4,4415
6,2,6691,RL,L5,7245
9,4,7199,V1,L23,7713
9,3,2382,V1,L4,2553
6,6,7933,V1,L5,8514
6,6,3277,AL,L23,3540
4,7,5881,AL,L4,6634
6,6,7958,AL,L5,8539
5,6,2425,RL,L23,2641
9,3,6757,RL,L4,7350
6,7,7388,RL,L5,8088
7,5,3991,V1,L23,4399
9,3,5280,V1,L4,5710
6,7,6312,V1,L5,6954
6,7,2853,AL,L23,3151
6,7,6476,AL,L4,7134
8,5,9159,AL,L5,9747
5,7,1396,RL,L23,1519
5,7,4763,RL,L4,5234
5,6,6154,RL,L5,6720
9,6,4261,V1,L23,4579
4,7,5260,V1,L4,5923
6,7,7510,V1,L5,8211
5,7,1268,AL,L23,1375
5,7,3761,AL,L4,4129
6,2,8090,AL,L5,8689
4,7,2466,RL,L23,2838
4,7,4939,RL,L4,5560
4,7,7326,RL,L5,8212
9,4,2429,V1,L23,2615
9,3,4762,V1,L4,5148
5,6,6692,V1,L5,7308
5,6,5053,AL,L23,5507
9,3,5325,AL,L4,5761
6,2,7684,AL,L5,8275
5,6,2164,RL,L23,2353
8,5,7994,RL,L4,8494
6,7,6297,RL,L5,6939
6,2,3924,V1,L23,4260
8,5,7459,V1,L4,7904
6,4,6445,V1,L5,6966
7,5,4162,AL,L23,4592
9,3,5110,AL,L4,5527
6,6,7955,AL,L5,8536
6,6,3359,RL,L23,3630
6,2,3908,RL,L4,4243
7,5,8090,RL,L5,8914
6,4,4500,V1,L23,4880
9,3,7867,V1,L4,8535
8,5,9329,V1,L5,9921
7,5,4219,AL,L23,4652
4,7,5888,AL,L4,6643
4,7,6822,AL,L5,7667
5,7,1817,RL,L23,1991
5,6,4719,RL,L4,5134
6,6,6450,RL,L5,6967
6,4,4643,V1,L23,5033
9,3,7704,V1,L4,8360
4,7,6997,V1,L5,7847
9,6,1335,AL,L23,1449
6,2,3697,AL,L4,4015
6,4,6831,AL,L5,7377
4,7,3377,RL,L23,3845
5,7,3887,RL,L4,4261
7,3,6276,RL,L5,6809
6,4,4046,V1,L23,4391
6,6,5986,V1,L4,6449
6,7,7619,V1,L5,8324
7,5,4493,AL,L23,4949
6,7,6508,AL,L4,7173
6,2,6092,AL,L5,6597
6,2,1174,RL,L23,1281
8,5,7013,RL,L4,7425
6,6,5816,RL,L5,6272
4,7,3107,V1,L23,3551
6,4,4451,V1,L4,4829
8,5,7236,V1,L5,7660
6,7,4056,AL,L23,4458
5,6,4927,AL,L4,5360
6,7,6441,AL,L5,7095
9,4,2081,RL,L23,2237
5,6,3897,RL,L4,4248
5,6,6203,RL,L5,6770
8,5,4487,V1,L23,4722
5,6,4070,V1,L4,4435
5,7,7730,V1,L5,8443
6,4,1092,AL,L23,1189
5,7,3764,AL,L4,4132
6,6,5748,AL,L5,6201
5,6,2028,RL,L23,2213
7,3,4054,RL,L4,4399
7,5,6109,RL,L5,6769
9,6,4833,V1,L23,5183
9,3,1767,V1,L4,1900
6,2,6445,V1,L5,6966
5,7,1278,AL,L23,1386
6,2,3743,AL,L4,4069
7,5,7764,AL,L5,8561
9,4,1416,RL,L23,1526
9,3,4871,RL,L4,5273
5,6,6271,RL,L5,6840
6,2,1552,V1,L23,1694
5,6,4899,V1,L4,5330
8,5,9249,V1,L5,9840
6,6,3984,AL,L23,4296
5,7,4959,AL,L4,5458
5,6,6623,AL,L5,7229
9,4,1401,RL,L23,1510
5,6,4894,RL,L4,5324
4,7,5710,RL,L5,6437
9,6,2535,V1,L23,2713
6,4,3980,V1,L4,4319
6,4,6465,V1,L5,6987
4,7,2249,AL,L23,2597
5,7,3722,AL,L4,4071
6,7,6225,AL,L5,6867
7,5,2066,RL,L23,2275
7,5,6200,RL,L4,6865
7,3,8287,RL,L5,8941
9,4,4227,V1,L23,4533
6,2,4534,V1,L4,4912
6,7,6354,V1,L5,7001
6,2,3702,AL,L23,4020
7,3,3969,AL,L4,4310
7,5,7752,AL,L5,8548
6,6,1719,RL,L23,1876
7,5,6620,RL,L4,7332
5,7,6660,RL,L5,7335
6,2,1592,V1,L23,1738
4,7,5405,V1,L4,6077
7,5,7881,V1,L5,8682
4,7,3372,AL,L23,3840
7,3,3962,AL,L4,4303
5,7,7596,AL,L5,8307
9,4,1396,RL,L23,1505
9,3,6789,RL,L4,7383
7,3,7964,RL,L5,8598
6,2,1725,V1,L23,1886
5,6,5068,V1,L4,5523
6,4,6807,V1,L5,7351
7,5,4305,AL,L23,4746
7,5,6670,AL,L4,7387
7,5,7754,AL,L5,8550
9,6,4629,RL,L23,4967
5,6,3945,RL,L4,4300
6,4,8036,RL,L5,8635
6,2,4429,V1,L23,4794
5,6,4113,V1,L4,4481
6,4,6569,V1,L5,7099
6,4,3544,AL,L23,3860
7,5,6601,AL,L4,7313
7,3,8292,AL,L5,8947
6,6,3931,RL,L23,4241
9,3,7794,RL,L4,8455
6,4,8037,RL,L5,8636
9,4,6817,V1,L23,7305
9,3,2159,V1,L4,2319
6,7,5927,V1,L5,6518
6,7,2836,AL,L23,3131
4,7,5879,AL,L4,6632
6,7,5420,AL,L5,5967
7,3,1460,RL,L23,1582
9,3,2679,RL,L4,2865
5,6,6983,RL,L5,7620
9,6,4337,V1,L23,4658
6,2,3965,V1,L4,4303
8,5,9584,V1,L5,10189
6,7,2931,AL,L23,3238
9,3,4087,AL,L4,4419
7,3,7904,AL,L5,8536
6,4,1116,RL,L23,1218
5,7,3902,RL,L4,4277
5,7,6381,RL,L5,7025
6,6,1340,V1,L23,1455
6,7,6417,V1,L4,7070
6,4,6721,V1,L5,7261
4,7,2293,AL,L23,2646
9,3,7455,AL,L4,8097
6,2,6043,AL,L5,6544
5,6,2411,RL,L23,2627
7,3,3999,RL,L4,4341
6,6,5977,RL,L5,6439
6,6,4403,V1,L23,4745
8,5,7322,V1,L4,7755
5,7,7718,V1,L5,8430
9,4,4752,AL,L23,5101
5,7,3729,AL,L4,4087
4,7,6823,AL,L5,7668
7,5,1401,RL,L23,1548
9,3,4781,RL,L4,5168
6,4,6014,RL,L5,6513
9,4,7628,V1,L23,8173
9,3,4601,V1,L4,4966
5,7,6122,V1,L5,6738
4,7,2225,AL,L23,2564
6,2,4727,AL,L4,5113
6,7,7333,AL,L5,8032
8,5,4201,RL,L23,4422
6,7,5537,RL,L4,6095
6,4,7731,RL,L5,8323
6,7,980,V1,L23,1108
9,3,7033,V1,L4,7645
7,3,6651,V1,L5,7195
6,2,3758,AL,L23,4086
6,4,4288,AL,L4,4655
6,6,6313,AL,L5,6812
5,6,1402,RL,L23,1509
5,6,4553,RL,L4,4954
5,7,6049,RL,L5,6663
6,4,1750,V1,L23,1921
6,2,4494,V1,L4,4865
5,6,6438,V1,L5,7022
7,3,1384,AL,L23,1505
9,3,1400,AL,L4,1518
6,6,7509,AL,L5,8080
6,4,1162,RL,L23,1267
4,7,4976,RL,L4,5599
4,7,6876,RL,L5,7721
4,7,2493,V1,L23,2866
7,5,6306,V1,L4,6978
5,6,6708,V1,L5,7325
6,4,4314,AL,L23,4682
6,6,6384,AL,L4,6893
5,6,6872,AL,L5,7499
6,4,4619,RL,L23,5006
8,5,7181,RL,L4,7602
7,3,8327,RL,L5,8986
4,7,718,V1,L23,889
6,2,4352,V1,L4,4711
5,7,6353,V1,L5,6988
6,2,3705,AL,L23,4023
9,3,2456,AL,L4,2630
7,3,8356,AL,L5,9018
8,5,1651,RL,L23,1738
7,3,3975,RL,L4,4316
7,3,7962,RL,L5,8596
6,7,1359,V1,L23,1525
9,3,7306,V1,L4,7934
6,4,6616,V1,L5,7151
5,7,3747,AL,L23,4109
9,3,2692,AL,L4,2881
5,7,6506,AL,L5,7161
6,4,4790,RL,L23,5194
7,5,6136,RL,L4,6797
7,5,7810,RL,L5,8609
9,6,4546,V1,L23,4881
4,7,5756,V1,L4,6488
5,6,6335,V1,L5,6911
9,4,6611,AL,L23,7088
7,3,4928,AL,L4,5351
6,4,7697,AL,L5,8289
6,2,4563,RL,L23,4945
7,3,4052,RL,L4,4397
6,6,5742,RL,L5,6195
6,6,4034,V1,L23,4348
9,3,2161,V1,L4,2321
5,6,6398,V1,L5,6980
7,5,3658,AL,L23,4043
6,2,4835,AL,L4,5231
7,3,8454,AL,L5,9117
6,6,4056,RL,L23,4371
9,3,1520,RL,L4,1644
6,7,5487,RL,L5,6044
4,7,2750,V1,L23,3156
6,4,4172,V1,L4,4524
6,6,6056,V1,L5,6525
7,3,2114,AL,L23,2279
6,2,4759,AL,L4,5148
4,7,7432,AL,L5,8327
6,2,1299,RL,L23,1421
9,3,6746,RL,L4,7339
6,6,7813,RL,L5,8392
6,7,3839,V1,L23,4226
6,2,4211,V1,L4,4561
6,4,7826,V1,L5,8418
6,4,3482,AL,L23,3782
