session,scan_idx,unit_id,readout_id,pref_tf,pref_sf,pref_ori,pref_dir,OSI,DSI,gOSI,gDSI,STII,curve_corr,rf_x,rf_y,rf_sigma_x,rf_sigma_y,rf_theta,SSI,resp
9,3,4446,4114,1.0,0.010452773071868312,95.04921720047531,275.0492172004753,0.62534463,0.3317123,0.29489227158361175,0.18678795654126484,0.41449713706970215,0.45169346952807815,-0.1692058684217258,0.1386646116619552,16.850639050524208,20.15027648698586,3.1415926535897927,8.041740974680918,9.317887
6,4,2316,2109,0.5,0.015935381728025885,144.2759868041224,144.2759868041224,0.35267615,0.37413087,0.15006304547448915,0.2183065005788263,0.4939870834350586,0.23266343881346663,-0.13923821433098915,0.10982896129526054,23.24400077906038,17.30401434299889,-3.1415926535897927,8.007723989153565,19.990864
4,7,8309,7416,2.0,0.018172240812029793,122.38363683271587,302.38363683271587,0.3549575,0.23671758,0.1474791230193392,0.18448823541242754,0.5528125762939453,0.428680585373573,-0.04257743952771964,0.12065179005481586,22.59125628404292,18.35718978437422,-3.1415926535897927,8.346009079010438,6.247195
5,6,7489,6862,1.5,0.028051091375098133,95.78176442417112,275.7817644241711,0.6197079,0.19560842,0.31856625329900196,0.11959027687109479,0.5138349533081055,0.8342841489336471,-0.16040842270187694,-0.10027164041582437,18.55657774169441,15.52598410176734,2.565714887389963,8.28968109997613,0.961929
6,2,8740,8141,2.5,0.02225000975343107,119.19090333857855,299.19090333857855,0.5621169,0.49100694,0.23649222792840946,0.3083231134874422,0.560318648815155,0.8608410553748097,-0.14725658861326396,-0.05344217547793584,23.684504358895797,17.838561773915952,3.1415926535897927,8.086185367623298,4.982385
6,4,4368,4025,1.5,0.02734375,166.40367407042874,166.40367407042874,0.6561178,0.46841896,0.30599749609755894,0.29591844748668783,0.5781204700469971,0.6918755850665362,-0.21294191829238718,0.20280693232820557,17.760340854974466,15.050608436512254,-3.1415926535897927,8.211686107984526,8.116531
6,7,6466,5878,1.0,0.013621835786870847,129.9254265573415,309.9254265573415,0.22608979,0.03616388,0.12370872575534074,0.09861908874493804,0.5259606838226318,0.5582087270396171,-0.16102372726537906,-0.03574039970437859,20.807433839159717,13.054048155390998,-0.007101332073541723,8.160523588985782,7.398562
6,7,4484,4078,0.5,0.013621835786870847,145.15943023149998,145.15943023149998,0.4503045,0.26356947,0.19270050658051702,0.15362623195559924,0.40013420581817627,0.6641913705617362,-0.03409353814680871,0.11290721747912591,24.213321253224883,21.730587966466196,-3.1415926535897927,8.059362938359556,58.742054
6,7,6861,6219,1.5,0.01709871146145157,140.34253581906665,140.34253581906665,0.5024837,0.4910353,0.17634865304209696,0.3333712346423747,0.4952806830406189,0.4787692361031064,-0.21379823092683958,0.06615811003650962,21.136040616572043,17.027909839925393,-3.1415926535897927,8.69687684650933,13.884525
8,5,8495,7995,2.0,0.0234375,175.10742891892713,175.10742891892713,0.89888173,0.26873028,0.5307292652884811,0.21569276452976774,0.4658259153366089,0.9348807012694375,-0.08110746977403893,0.16130362754510785,19.179016015553056,17.361031332750635,0.6977696089973797,8.484006659841572,23.07148
9,3,4897,4535,0.5,0.014427751856418976,82.25653520420462,262.2565352042046,0.49506435,0.36903718,0.20471923931293345,0.16198940640575335,0.42530542612075806,0.46732737773318256,-0.11033161025483496,0.04537987523365783,21.464235180001385,18.83172346180318,-3.1415926535897927,8.483398815110545,5.946117
9,3,8002,7365,2.0,0.03583555807720141,11.641117001390194,11.641117001390194,0.7692802,0.31236285,0.3993689562459304,0.21585023314107704,0.5878965854644775,0.906358334470871,-0.10611214967536498,0.07667197346543464,21.351728263526553,14.9296710705266,-0.09358457767089357,8.53139232154217,17.042496
5,6,5338,4907,0.5,0.010452773071868312,140.65521564642756,140.65521564642756,0.40577176,0.3175563,0.15269207818115468,0.1704739636353034,0.5687114000320435,0.32191685941401166,-0.26643966160112587,-0.050994973865004734,20.904027986037224,16.24439291858015,-3.1415926535897927,8.299800827726793,81.9822
7,3,5498,5058,0.5,0.02072908669489506,159.1524101873575,159.1524101873575,0.36113086,0.37776256,0.11117905475297266,0.19472076514127254,0.5333399772644043,0.6740137558985951,-0.05954995392154261,0.10274339227665452,21.724128205121108,17.967306959378433,-0.3762842973938462,8.232548863107189,20.450323
6,6,6654,6175,0.5,0.01171875,41.31609277110857,221.31609277110857,0.26185024,0.23194681,0.11727646356368669,0.17115434036674165,0.31746798753738403,0.10523225242318357,-0.1712094780407325,0.1598198550360601,12.88387561724404,15.151646549608103,1.5771055859412857,8.292064438220244,4.6454926
6,2,1832,1677,2.0,0.028556916926381914,34.7552170050233,214.7552170050233,0.33916733,0.65945643,0.08117579497071811,0.34807771945775334,0.5718311071395874,0.08817486921116455,-0.19496292501373969,-0.08581072922777067,13.56564756270773,22.73977843453685,-1.5763790368799706,8.144734907877917,13.015756
6,4,2254,2057,2.0,0.026041666666666668,54.95548515755951,234.9554851575595,0.9000635,0.8663392,0.5091304656756099,0.6881813172860912,0.5536510944366455,0.049477202962548913,-0.20943291265320163,0.017355607207246715,22.026114502291975,14.942798263046086,-0.06843110611042269,8.797130404879965,472.37405
9,4,5261,4905,4.5,0.015625,9.164438726252456,189.16443872625246,0.3287334,0.20063835,0.13178733025867026,0.1004399131328546,0.38332557678222656,0.28451228388053723,-0.05793215774687288,-0.002240867314008188,20.608433568520116,22.39411550058076,3.1415926535897927,8.13653883966145,9.602301
4,7,1005,824,4.0,0.028211805555555556,7.482255705744791,187.4822557057448,0.33130804,0.48454553,0.07712775066459898,0.2450684950969057,0.5850412845611572,-0.3238958995344774,-0.07814428370861104,-0.029076903204185323,18.59478790435319,24.14150569010922,2.112384017800421,8.502078503170594,8.957133
7,3,2034,1888,2.0,0.02444466638945959,37.24157619618982,37.24157619618982,0.41900414,0.5134873,0.14585952024910614,0.24191558417741876,0.6749160289764404,0.40023923367946024,-0.1746091017159771,-0.0806568266568366,20.927103682409676,17.0262057174472,-0.38557427184649745,8.300008706526034,12.840925
6,4,4767,4392,2.5,0.03187076345605177,117.62903016937327,297.62903016937327,0.6971387,0.42115843,0.33492845950964656,0.26770495244569936,0.6065846681594849,0.896504932652234,-0.11548971387865958,-0.1673555965385446,22.69504249004315,15.824299678776324,3.1415926535897927,8.486056556213075,269.6673
6,4,1444,1328,0.5,0.018172240812029793,97.9445073875026,277.9445073875026,0.26112232,0.3742566,0.0983413205124372,0.17139097189573582,0.5296008586883545,-0.3463425764827551,-0.08183060139440501,-0.10524491702959482,23.812463525009466,18.046595041862314,-3.1415926535897927,8.615656499404846,23.540108
4,7,2893,2518,1.5,0.028855503712837953,73.68009791384887,253.68009791384887,0.82098603,0.4919602,0.43385020753560777,0.3182860287363295,0.3969607949256897,0.8016160693164394,-0.0004465641595858827,0.20017551764581087,20.124999885319575,15.435496200718326,0.13338303169559504,8.405039286225858,14.5225315
6,4,1660,1532,2.0,0.027777777777777776,94.23084568025047,274.23084568025047,0.578967,0.34450263,0.2684202513452722,0.22781996296818585,0.5254669189453125,0.49288856599693015,-0.22694112258014654,0.04583842323555354,18.828555344065844,19.553054653051493,2.98451811402355,8.5182301944891,32.74503
