session,scan_idx,unit_id,readout_id,unit_x,unit_y,unit_z,brain_area,field,pt_root_id,cc_max,layer,cell_type
6,4,6985,6463,890.4,1092.54,417.5,V1,6,864691135309699654,0.817159,L5,5P-IT
6,4,6987,6465,1085.37,1122.88,416.58,V1,6,864691136813085299,0.713354,L5,5P-IT
6,4,6989,6466,1186.87,1110.67,415.85,V1,6,864691136135545739,0.807459,L4,4P
6,4,6990,6467,1308.61,1103.48,415.04,V1,6,864691135611485703,0.815856,L5,5P-IT
6,4,6992,6469,996.91,1087.81,416.8,V1,6,864691136110495416,0.96265,L5,5P-IT
6,4,6993,6470,1288.2,453.35,409.24,RL,6,864691136310663258,0.654102,L5,5P-IT
6,4,6994,6471,1295.47,164.43,406.56,RL,6,864691135516830931,0.86554,L5,5P-IT
6,4,6996,6472,923.16,452.49,411.46,V1,6,864691135510210057,0.703864,L5,5P-IT
6,4,6998,6473,1296.45,368.68,408.41,RL,6,864691136056852440,0.858325,L5,5P-IT
6,4,7000,6475,1195.88,926.37,414.12,V1,6,864691136381238229,0.741795,L5,5P-IT
6,4,7001,6476,963.63,131.27,408.28,AL,6,864691134885247482,0.837157,L5,5P-IT
6,4,7002,6477,1289.35,968.94,413.93,V1,6,864691134947399420,0.899823,L5,5P-IT
6,4,7003,6478,1117.37,248.7,408.41,RL,6,864691135273201169,0.858569,L5,5P-IT
6,4,7006,6481,1119.98,572.51,411.35,V1,6,864691135594380843,0.868717,L5,5P-IT
6,4,7007,6482,1151.45,1100.62,415.98,V1,6,864691135569576326,0.784935,L5,5P-IT
6,4,7008,6483,1111.6,1008.37,415.38,V1,6,864691135275666917,0.900811,L5,5P-IT
6,4,7009,6484,1077.88,1107.92,416.49,V1,6,864691135361086791,0.830053,L5,5P-IT
6,4,7011,6486,954.96,604.5,412.65,V1,6,864691135477040808,0.944557,L5,5P-IT
6,4,7012,6487,1294.79,254.1,407.38,RL,6,864691136673297799,0.71392,L5,5P-IT
6,4,7013,6488,1280.73,769.66,412.17,V1,6,864691135518381962,0.848752,L5,5P-IT
6,4,7014,6489,1034.82,1102.84,416.71,V1,6,864691135926891790,0.870442,L5,5P-IT
6,4,7015,6490,1003.14,602.12,412.33,V1,6,864691135849426270,0.735027,L5,5P-IT
6,4,7016,6491,1039.8,1115.3,416.79,V1,6,864691136663556574,0.870936,L5,5P-IT
6,4,7017,6492,1304.7,284.01,407.59,RL,6,864691136100100213,0.871515,L5,5P-IT
6,4,7018,6493,1081.78,928.6,414.83,V1,6,864691135587519868,0.941411,L5,5P-IT
6,4,7020,6495,915.25,492.32,411.87,V1,6,864691135582645869,0.864592,L5,5P-IT
6,4,7021,6496,1200.62,968.73,414.47,V1,6,864691135661619440,0.753804,L5,5P-IT
6,4,7023,6498,923.8,367.8,410.68,RL,6,864691135590891019,0.889889,L5,5P-IT
6,4,7026,6501,841.43,532.0,412.68,V1,6,864691137020450926,0.729244,L4,4P
6,4,7027,6502,1123.36,1127.96,416.4,V1,6,864691135774216955,0.764913,L5,5P-IT
6,4,7028,6503,830.85,923.02,416.31,V1,6,864691135848843102,0.748668,L5,5P-IT
6,4,7029,6504,1304.81,602.83,410.5,RL,6,864691135719269937,0.876383,L5,5P-IT
6,4,7034,6507,1293.53,1086.01,414.98,V1,6,864691135454834282,0.73798,L5,5P-IT
6,4,7036,6509,1123.09,164.03,407.61,AL,6,864691135100918048,0.799333,L5,5P-IT
6,4,7037,6510,954.51,330.51,410.15,RL,6,864691135889749641,0.611233,L5,5P-IT
6,4,7038,6511,1318.64,450.93,409.03,RL,6,864691136237627919,0.501818,L5,5P-IT
6,4,7039,6512,1317.84,889.3,413.03,V1,6,864691135568672236,0.755825,L5,5P-IT
6,4,7040,6513,1303.44,1115.93,415.19,V1,6,864691135584236920,0.824466,L5,5P-IT
6,4,7041,6514,1301.08,1093.5,415.0,V1,6,864691135258481327,0.881575,L5,5P-IT
6,4,7042,6515,1002.05,412.82,410.61,RL,6,864691135938510133,0.704596,L5,5P-IT
6,4,7043,6516,1244.41,211.64,407.3,RL,6,864691135693519295,0.600018,L5,5P-IT
6,4,7045,6518,874.25,883.27,415.69,V1,6,864691136109795768,0.83738,L5,5P-IT
6,4,7046,6519,1116.59,684.58,412.39,V1,6,864691136238039311,0.840436,L5,5P-IT
6,4,7047,6520,1164.53,1048.35,415.42,V1,6,864691136312074074,0.723197,L5,5P-IT
6,4,7048,6521,1318.07,525.65,409.71,RL,6,864691135688156896,0.779303,L5,5P-IT
6,4,7049,6522,1040.39,370.57,409.99,RL,6,864691135926608142,0.540459,L5,5P-ET
6,4,7051,6524,1299.06,692.49,411.35,V1,6,864691135491390055,0.488803,L5,5P-IT
6,4,7052,6525,1311.45,729.88,411.62,V1,6,864691135257369007,0.819511,L4,4P
6,4,7053,6526,915.42,803.67,414.71,V1,6,864691135361571655,0.759299,L5,5P-IT
6,4,7055,6528,883.64,649.16,413.49,V1,6,864691136126513190,0.799432,L5,5P-IT
6,4,7056,6529,917.0,928.21,415.84,V1,6,864691136101718133,0.873739,L5,5P-IT
6,4,7057,6530,1235.74,684.86,411.67,V1,6,864691135655158978,0.62798,L5,5P-IT
6,4,7058,6531,921.55,330.44,410.35,RL,6,864691134941164899,0.778251,L5,5P-IT
6,4,7060,6533,1005.0,691.79,413.14,V1,6,864691136109440696,0.760459,L5,5P-IT
6,4,7061,6534,1121.08,761.81,413.07,V1,6,864691136273832382,0.752536,L5,5P-IT
6,4,7062,6535,1281.05,727.31,411.78,V1,6,864691135463768894,0.679893,L5,5P-IT
6,4,7065,6538,923.37,91.33,408.16,AL,6,864691135385246293,0.78285,L5,5P-IT
6,4,7066,6539,1319.94,612.83,410.5,RL,6,864691135851565511,0.881955,L5,5P-IT
