session,scan_idx,readout_id,r2
4,7,526,0.4552625276070273
4,7,528,0.6222737871200208
4,7,529,0.6539062280365786
4,7,530,0.6697976207292818
4,7,538,0.6978617298242777
4,7,539,0.6275673817004221
4,7,540,0.2567176835239116
4,7,541,0.5240247369014893
4,7,542,0.708538395858384
4,7,547,0.7124254632329561
4,7,548,0.8871940957441644
4,7,549,0.8073390952800071
4,7,550,0.8467711662945979
4,7,553,0.5207589577043668
4,7,556,0.6345183883064027
4,7,557,0.6109079674266822
4,7,558,0.8597217788452965
4,7,560,0.8849618914437807
4,7,565,0.523707958475807
4,7,566,0.5360255198057484
4,7,567,0.5233469569012608
4,7,568,0.4420539185975951
4,7,569,0.2745432874299112
4,7,570,0.621918110599623
4,7,572,0.7202585204413026
4,7,573,0.7354499410901015
4,7,574,0.5686694994854513
4,7,577,0.6250461729498982
4,7,578,0.1539306795804933
4,7,579,0.5821723280280742
4,7,580,0.4691142792599531
4,7,581,0.8981000287719108
4,7,582,0.3797317459948641
4,7,583,0.5692516579259367
4,7,584,0.6002171101464168
4,7,585,0.7661892798863555
4,7,586,0.6499788812449101
4,7,587,0.6798167718966371
4,7,589,0.7192042591459915
4,7,590,0.4947234806781431
4,7,591,0.5091361614301833
4,7,592,0.6449557374199242
4,7,596,0.7628236041604506
4,7,597,0.7454337344264221
4,7,598,0.8882506876778632
4,7,599,0.7270269816771435
4,7,600,0.6122778427479374
4,7,601,0.6361030748339209
4,7,602,0.2396692932238328
4,7,603,0.6627057540826804
4,7,604,0.7823340706165051
4,7,609,0.4709082118342866
4,7,610,0.7060701053447674
4,7,611,0.7289920290155236
4,7,612,0.6701272302111321
4,7,613,0.6395050644912319
4,7,614,0.6519929037864138
4,7,615,0.5299606915257363
4,7,616,0.6335082830443395
4,7,618,0.8521616473354363
4,7,619,0.1289485540908129
4,7,620,0.843723286891661
4,7,621,0.7205218985207426
4,7,626,0.6408885391942742
4,7,628,0.8214049600720353
4,7,629,0.7303288583497602
4,7,630,0.6772081598685507
4,7,631,0.5993810071235148
4,7,632,0.5784116757066973
4,7,633,0.7104754951072756
4,7,634,0.5867075904702692
4,7,635,0.7019193068775377
4,7,641,0.640819101009045
4,7,642,0.6199394495237242
4,7,643,0.7741164580221999
4,7,644,0.610232362401925
4,7,645,0.6594828758579008
4,7,646,0.6148133876162137
4,7,647,0.8187037453959716
4,7,649,0.3018360504239552
4,7,654,0.7647719868689837
4,7,655,0.5630198591750123
4,7,657,0.8098518546319884
4,7,658,0.8685724990986031
4,7,664,0.831141788088975
4,7,665,0.7196620595387777
4,7,667,0.770504547985347
4,7,669,0.7975773486679001
4,7,670,0.7996005951222867
4,7,671,0.6501410488745409
4,7,673,0.4188651403461156
4,7,674,0.8558684509693334
4,7,676,0.4434579163937914
4,7,678,0.8110701020304318
4,7,679,0.6386518661830289
4,7,680,0.4633229906872046
4,7,681,0.7993066049600236
4,7,682,0.8792869313879379
4,7,683,0.8923925914729363
4,7,684,0.8577957759854995
4,7,685,0.9083050531043784
4,7,687,0.4762813419159027
4,7,688,0.5977870273798844
4,7,689,0.4105768136060841
4,7,690,0.4988170523585671
4,7,691,0.696355764517965
4,7,693,0.9020020862389946
4,7,695,0.2987029210772169
4,7,696,0.2533298044340295
4,7,697,0.1567576136799381
4,7,698,0.9320314960574436
4,7,699,0.8315849991349776
4,7,701,0.4327565305387822
4,7,702,0.7437848530087161
4,7,703,0.5384537668013107
4,7,704,0.0387606930562763
4,7,705,0.8268289449412934
4,7,707,0.5637444920744159
4,7,709,0.5880239643810588
4,7,710,0.3217974754236505
4,7,712,0.4838655798436059
4,7,713,0.8651141860075116
4,7,714,0.4297015942151748
4,7,715,0.58303884222763
4,7,716,0.6742980244231298
4,7,717,0.7057193391620398
4,7,718,0.7273782730953486
4,7,722,0.6926031458848986
4,7,723,0.2024142139261425
4,7,724,0.6967965498560718
4,7,725,0.543981361976884
4,7,727,0.7310394571573949
4,7,728,0.7378479588229596
4,7,730,0.5981944653432039
